class_ar,booming,booming_confidence,shrinking,shrinking_confidence,top_5_companies,,,,,,,,
 أنواع التعليم الأخرى غير المصنّفة في موضع آخر,0,,0,,الدلتا خدمات محدودة (15.74%) | الإسكندرية زراعة ش.م.م (9.87%) | الإسكندرية زراعة ش.م.م (8.00%) | الإسكندرية صلب ذ.م.م (7.86%) | سيناء خدمات محدودة (7.39%),,,,,,,,
 أنواع النقل البري الأخرى للركاب,0,,1,mid,النيل تقنية محدودة (14.89%) | النيل صلب ذ.م.م (12.56%) | الدلتا كيماويات ش.ذ.م.م (11.22%) | مصر أغذية محدودة (11.11%) | الدلتا لوجستيات ذ.م.م (10.36%),,,,,,,,
 أنواع الوساطة المالية الأخرى,0,,0,,الأهرام صلب محدودة (21.11%) | القاهرة تقنية ذ.م.م (19.98%) | الأهرام زراعة ذ.م.م (7.60%) | القاهرة لوجستيات محدودة (6.71%) | الدلتا تجارة محدودة (6.66%),,,,,,,,
 إتمام تجهيز المنسوجات,0,,1,high,اللوتس خدمات ذ.م.م (24.77%) | اللوتس بلاستيك محدودة (22.19%) | الأهرام تجارة محدودة (16.07%) | مصر تجارة ذ.م.م (12.30%) | مصر صلب ذ.م.م (6.82%),,,,,,,,
 إدارة الأسواق المالية,0,,1,mid,الأهرام منسوجات ش.ذ.م.م (20.10%) | مصر بلاستيك محدودة (15.06%) | سيناء تقنية ش.م.م (13.79%) | الإسكندرية لوجستيات محدودة (13.52%) | الأهرام لوجستيات ش.ذ.م.م (8.26%),,,,,,,,
 إصلاح أجهزة الحاسوب والمعدات الطرفية للحاسوب,1,high,0,,القاهرة لوجستيات ش.ذ.م.م (12.97%) | سيناء منسوجات ذ.م.م (9.42%) | الدلتا خدمات ش.ذ.م.م (7.55%) | الدلتا كيماويات محدودة (6.56%) | سيناء لوجستيات ذ.م.م (6.16%),,,,,,,,
 إصلاح الآلات,0,,0,,سيناء أغذية محدودة (50.05%) | اللوتس زراعة ذ.م.م (19.48%) | الأهرام لوجستيات ش.ذ.م.م (14.30%) | سيناء زراعة ذ.م.م (11.85%) | اللوتس زراعة ش.م.م (2.62%),,,,,,,,
 إصلاح الأثاث والمفروشات المنزلية,0,,1,high,سيناء لوجستيات محدودة (17.64%) | الأهرام خدمات محدودة (12.03%) | سيناء منسوجات ش.م.م (9.84%) | الإسكندرية زراعة ش.م.م (8.67%) | الدلتا بلاستيك ش.م.م (8.34%),,,,,,,,
 إصلاح الأجهزة الإلكترونية الاستهلاكية,0,,1,mid,حورس صلب ذ.م.م (10.15%) | مصر زراعة ش.م.م (9.35%) | اللوتس تقنية ذ.م.م (8.94%) | القاهرة تجارة محدودة (8.92%) | القاهرة خدمات ذ.م.م (8.44%),,,,,,,,
 إصلاح الأجهزة المنزلية والمعدات المنزلية ومعدات الحدائق,0,,0,,حورس تجارة ذ.م.م (9.06%) | القاهرة صلب محدودة (8.98%) | النيل تقنية ش.م.م (8.77%) | الدلتا كيماويات محدودة (7.77%) | مصر بلاستيك ش.م.م (7.69%),,,,,,,,
 إصلاح الأحذية والمنتجات الجلدية,1,mid,0,,الأهرام صلب ش.ذ.م.م (11.57%) | حورس تجارة ش.ذ.م.م (8.77%) | مصر أغذية محدودة (8.54%) | اللوتس صلب ش.م.م (8.38%) | اللوتس زراعة محدودة (7.52%),,,,,,,,
 إصلاح السلع الشخصية والمنزلية الأخرى,1,mid,0,,الإسكندرية لوجستيات محدودة (14.45%) | الدلتا تجارة ش.ذ.م.م (9.86%) | مصر تجارة ش.ذ.م.م (8.38%) | الجيزة لوجستيات محدودة (7.49%) | النيل زراعة ش.ذ.م.م (7.41%),,,,,,,,
 إصلاح المعدات الإلكترونية والبصرية,0,,1,high,سيناء صلب ش.م.م (39.87%) | اللوتس كيماويات ش.م.م (22.74%) | اللوتس أغذية محدودة (8.89%) | القاهرة لوجستيات محدودة (7.97%) | حورس أغذية ش.م.م (7.05%),,,,,,,,
 إصلاح المعدات الكهربائية,0,,1,mid,الجيزة منسوجات ش.م.م (38.94%) | مصر تجارة ش.م.م (12.57%) | الجيزة لوجستيات ش.ذ.م.م (7.96%) | الدلتا بلاستيك ش.م.م (7.16%) | حورس تجارة ش.ذ.م.م (7.12%),,,,,,,,
 إصلاح معدات الاتصالات,0,,0,,القاهرة لوجستيات ذ.م.م (17.05%) | الجيزة زراعة ذ.م.م (15.81%) | الأهرام صلب ذ.م.م (12.78%) | القاهرة بلاستيك ش.ذ.م.م (10.11%) | الجيزة خدمات ش.ذ.م.م (7.27%),,,,,,,,
 إصلاح معدات النقل فيما عدا المركبات ذات المحركات,0,,1,mid,القاهرة زراعة ش.م.م (54.04%) | الدلتا تجارة محدودة (11.52%) | الإسكندرية صلب محدودة (11.49%) | مصر تقنية محدودة (8.55%) | النيل خدمات محدودة (7.98%),,,,,,,,
 إصلاح منتجات المعادن المشكَّلة,0,,1,high,الجيزة صلب ش.ذ.م.م (45.02%) | الدلتا بلاستيك ش.م.م (31.75%) | سيناء منسوجات ش.ذ.م.م (6.77%) | اللوتس زراعة محدودة (5.73%) | الأهرام خدمات ش.ذ.م.م (3.64%),,,,,,,,
 استخراج الخث,0,,1,mid,اللوتس خدمات محدودة (32.23%) | الدلتا أغذية ش.ذ.م.م (29.22%) | الجيزة منسوجات ذ.م.م (8.52%) | مصر خدمات ش.ذ.م.م (6.68%) | اللوتس منسوجات محدودة (5.97%),,,,,,,,
 استخراج الملح,0,,0,,الإسكندرية بلاستيك ش.ذ.م.م (22.56%) | مصر بلاستيك ذ.م.م (15.08%) | اللوتس منسوجات ش.م.م (12.75%) | الأهرام خدمات ذ.م.م (9.84%) | الأهرام زراعة ش.ذ.م.م (6.79%),,,,,,,,
 استخراج النفط الخام,0,,1,mid,الدلتا تجارة ش.م.م (35.03%) | سيناء تقنية ذ.م.م (23.12%) | سيناء تقنية محدودة (13.32%) | الدلتا زراعة ش.م.م (11.57%) | مصر خدمات ش.م.م (8.05%),,,,,,,,
 استرجاع المواد,1,high,0,,حورس منسوجات ذ.م.م (26.74%) | اللوتس بلاستيك ش.م.م (20.49%) | الدلتا صلب ش.ذ.م.م (14.71%) | الإسكندرية زراعة محدودة (10.25%) | مصر بلاستيك محدودة (8.65%),,,,,,,,
 الأنشطة الأخرى المساعدة لأنشطة الخدمات المالية,0,,1,mid,الجيزة خدمات ش.ذ.م.م (15.13%) | الجيزة منسوجات ش.ذ.م.م (13.21%) | الدلتا تقنية ش.ذ.م.م (11.21%) | الإسكندرية كيماويات محدودة (9.44%) | النيل خدمات محدودة (8.82%),,,,,,,,
 الأنشطة الرياضية الأخرى,0,,1,mid,الجيزة صلب ش.م.م (24.25%) | الدلتا صلب ش.م.م (16.29%) | الدلتا أغذية ش.م.م (15.15%) | الإسكندرية زراعة ش.ذ.م.م (11.73%) | الدلتا صلب ش.م.م (8.10%),,,,,,,,
 الأنشطة العامة للإدارة العامة,0,,1,high,الإسكندرية منسوجات ش.ذ.م.م (82.90%) | حورس بلاستيك محدودة (17.10%),,,,,,,,
 الأنشطة القانونية,0,,0,,الجيزة زراعة ذ.م.م (9.30%) | مصر كيماويات محدودة (7.44%) | القاهرة تقنية ش.ذ.م.م (7.30%) | سيناء كيماويات محدودة (7.10%) | الجيزة بلاستيك ش.م.م (5.83%),,,,,,,,
" الأنشطة المحاسبية وأنشطة مسك الدفاتر ومراجعة الحسابات، والاستشارات الضريبية",0,,0,,الدلتا صلب محدودة (17.87%) | الدلتا زراعة ذ.م.م (8.68%) | مصر أغذية محدودة (5.30%) | النيل بلاستيك محدودة (5.15%) | حورس أغذية ش.م.م (4.28%),,,,,,,,
 الأنشطة غير المميَّزة لإنتاج الخدمات التي تقوم بها الأُسَر المعيشية لاستعمالها الخاص,0,,1,high,الجيزة لوجستيات محدودة (45.29%) | النيل كيماويات محدودة (35.10%) | القاهرة خدمات محدودة (10.99%) | الأهرام تقنية ش.م.م (6.02%) | سيناء منسوجات ش.م.م (1.89%),,,,,,,,
 الأنشطة غير المميَّزة لإنتاج السلع التي تقوم بها الأُسَر المعيشية لاستعمالها الخاص,0,,0,,حورس صلب ذ.م.م (93.12%) | الأهرام خدمات محدودة (6.88%),,,,,,,,
 البيع بالتجزئة عن طريق بيوت تنفيذ طلبات الشراء أو عن طريق الإنترنت,0,,0,,الإسكندرية زراعة ش.ذ.م.م (12.54%) | الإسكندرية زراعة ش.م.م (9.95%) | القاهرة تقنية محدودة (6.07%) | الإسكندرية كيماويات ذ.م.م (6.03%) | مصر خدمات ش.ذ.م.م (5.16%),,,,,,,,
 البيع بالتجزئة في المتاجر غير المتخصصة التي تبيع الأطعمة والمشروبات والتبغ أساساً,1,mid,0,,الأهرام زراعة محدودة (4.31%) | حورس لوجستيات ذ.م.م (4.18%) | سيناء تجارة محدودة (3.59%) | الأهرام أغذية ذ.م.م (3.58%) | الجيزة أغذية ذ.م.م (3.52%),,,,,,,,
 البيع بالتجزئة للأجهزة الكهربائية المنزلية والأثاث ومعدات الإضاءة وغيرها من الأصناف المنزلية في المتاجر المتخصصة,0,,1,mid,مصر أغذية محدودة (5.87%) | الجيزة أغذية ش.ذ.م.م (5.72%) | الدلتا زراعة ش.ذ.م.م (5.56%) | سيناء زراعة ش.ذ.م.م (5.16%) | حورس منسوجات ذ.م.م (5.14%),,,,,,,,
 البيع بالتجزئة للمعدات السمعية والبصرية في المتاجر المتخصصة,1,mid,0,,القاهرة منسوجات ذ.م.م (13.78%) | اللوتس صلب ش.م.م (6.47%) | مصر تجارة ش.ذ.م.م (4.82%) | اللوتس زراعة ش.ذ.م.م (4.21%) | الأهرام لوجستيات ش.م.م (4.10%),,,,,,,,
 التأجير المالي,0,,0,,الجيزة صلب ش.م.م (27.17%) | النيل لوجستيات ش.م.م (11.97%) | النيل زراعة ذ.م.م (10.21%) | الدلتا تجارة محدودة (9.90%) | القاهرة كيماويات محدودة (8.41%),,,,,,,,
 التأمين على الحياة,0,,1,mid,الإسكندرية صلب ش.م.م (14.53%) | مصر تقنية ش.ذ.م.م (13.43%) | حورس صلب ش.م.م (11.40%) | القاهرة زراعة محدودة (8.82%) | النيل أغذية ذ.م.م (7.78%),,,,,,,,
" التأمين، بخلاف التأمين على الحياة",0,,1,mid,مصر منسوجات ذ.م.م (19.02%) | الأهرام لوجستيات ذ.م.م (18.32%) | الإسكندرية تقنية ش.م.م (15.96%) | القاهرة تقنية ذ.م.م (14.69%) | اللوتس لوجستيات ذ.م.م (11.08%),,,,,,,,
 التخزين,0,,1,mid,الجيزة زراعة ذ.م.م (20.15%) | مصر تجارة ش.م.م (13.79%) | مصر منسوجات ش.ذ.م.م (10.65%) | القاهرة صلب ش.م.م (9.00%) | الدلتا أغذية ش.م.م (7.91%),,,,,,,,
 التركيبات الكهربائية,0,,1,mid,مصر زراعة ش.م.م (5.37%) | الأهرام أغذية محدودة (5.24%) | سيناء خدمات ش.م.م (5.03%) | الدلتا تجارة محدودة (4.84%) | النيل تجارة ش.ذ.م.م (4.72%),,,,,,,,
 التعليم الثانوي العام,1,mid,0,,القاهرة بلاستيك ش.ذ.م.م (30.13%) | الدلتا تقنية ش.ذ.م.م (12.40%) | الإسكندرية لوجستيات ش.ذ.م.م (9.13%) | القاهرة منسوجات ش.م.م (7.45%) | الأهرام زراعة ذ.م.م (7.32%),,,,,,,,
 التعليم الثانوي الفني والمهني,0,,1,mid,مصر لوجستيات ذ.م.م (22.49%) | الأهرام بلاستيك محدودة (17.11%) | النيل منسوجات ذ.م.م (9.83%) | حورس منسوجات ش.م.م (9.07%) | الدلتا خدمات ش.ذ.م.م (7.62%),,,,,,,,
 التعليم الثقافي,1,mid,0,,القاهرة كيماويات ش.ذ.م.م (13.18%) | مصر زراعة محدودة (10.09%) | مصر لوجستيات ش.ذ.م.م (7.51%) | الأهرام زراعة ش.م.م (6.95%) | النيل خدمات محدودة (6.53%),,,,,,,,
 التعليم في مجال الرياضة والترفيه,1,mid,0,,حورس زراعة ذ.م.م (14.52%) | الإسكندرية كيماويات ذ.م.م (9.11%) | النيل بلاستيك ش.م.م (7.38%) | مصر بلاستيك ش.م.م (7.13%) | الجيزة كيماويات ش.ذ.م.م (7.03%),,,,,,,,
 التنظيف العام للمباني,0,,1,high,الأهرام خدمات محدودة (18.44%) | القاهرة صلب ش.م.م (14.16%) | اللوتس بلاستيك ش.م.م (13.88%) | اللوتس أغذية ش.ذ.م.م (11.73%) | الدلتا تقنية ش.م.م (9.82%),,,,,,,,
 الشؤون الخارجية,0,,1,mid,النيل تجارة محدودة (100.00%),,,,,,,,
 الصيد والقنص وأنشطة الخدمات المتصلة,0,,1,high,النيل بلاستيك محدودة (19.13%) | القاهرة تجارة ش.ذ.م.م (13.20%) | القاهرة أغذية محدودة (9.01%) | سيناء زراعة ذ.م.م (8.91%) | سيناء خدمات ش.ذ.م.م (8.88%),,,,,,,,
 الطباعة,0,,1,mid,النيل خدمات ذ.م.م (22.65%) | سيناء تجارة ش.ذ.م.م (20.71%) | سيناء تجارة ش.ذ.م.م (14.99%) | سيناء تجارة ش.ذ.م.م (13.04%) | الجيزة صلب ش.ذ.م.م (9.55%),,,,,,,,
 المصارف المركزية,0,,0,,الأهرام خدمات ش.م.م (12.25%) | حورس لوجستيات ذ.م.م (10.92%) | الإسكندرية صلب محدودة (7.68%) | سيناء أغذية ش.م.م (7.57%) | الإسكندرية صلب ذ.م.م (7.28%),,,,,,,,
 النقل البري للبضائع,0,,0,,النيل منسوجات ذ.م.م (13.43%) | حورس تجارة ش.م.م (12.39%) | الجيزة منسوجات ش.ذ.م.م (11.91%) | اللوتس صلب ش.ذ.م.م (9.45%) | مصر منسوجات ش.ذ.م.م (6.92%),,,,,,,,
 النقل البري للركاب في المدن والضواحي,0,,1,mid,مصر بلاستيك ذ.م.م (14.51%) | اللوتس لوجستيات ش.م.م (14.13%) | سيناء زراعة محدودة (12.66%) | مصر خدمات ذ.م.م (12.57%) | النيل تقنية محدودة (8.66%),,,,,,,,
 النقل المائي البحري والساحلي للبضائع,1,mid,0,,الأهرام منسوجات محدودة (11.75%) | سيناء تقنية ش.ذ.م.م (9.75%) | حورس خدمات ذ.م.م (9.72%) | حورس لوجستيات ذ.م.م (9.04%) | اللوتس خدمات محدودة (5.95%),,,,,,,,
 النقل المائي البحري والساحلي للركاب,0,,1,high,الدلتا تجارة ذ.م.م (24.91%) | الإسكندرية منسوجات ش.م.م (13.31%) | القاهرة كيماويات ش.ذ.م.م (11.63%) | سيناء صلب ش.م.م (8.83%) | الإسكندرية تقنية محدودة (6.73%),,,,,,,,
 النقل المائي الداخلي للبضائع,1,mid,0,,النيل كيماويات محدودة (13.84%) | حورس زراعة ش.م.م (10.42%) | سيناء بلاستيك ش.ذ.م.م (8.76%) | الدلتا تقنية ش.ذ.م.م (8.71%) | مصر زراعة ش.م.م (6.85%),,,,,,,,
 النقل المائي الداخلي للركاب,0,,1,mid,الأهرام تقنية ش.م.م (14.89%) | النيل منسوجات ذ.م.م (9.07%) | الأهرام تجارة ذ.م.م (8.54%) | النيل صلب محدودة (7.73%) | الإسكندرية لوجستيات ذ.م.م (7.02%),,,,,,,,
 النقل بخطوط الأنابيب,0,,1,mid,الإسكندرية تقنية محدودة (13.27%) | سيناء زراعة محدودة (9.83%) | النيل تقنية ش.ذ.م.م (8.77%) | الأهرام أغذية ذ.م.م (7.84%) | حورس منسوجات ش.م.م (7.76%),,,,,,,,
 الهدم,0,,0,,الأهرام تجارة ش.ذ.م.م (7.78%) | الدلتا منسوجات ش.ذ.م.م (6.92%) | اللوتس تقنية محدودة (4.02%) | سيناء بلاستيك ش.م.م (3.93%) | الإسكندرية صلب محدودة (3.51%),,,,,,,,
 بناء السفن والمنشآت العائمة,0,,1,mid,الدلتا منسوجات محدودة (24.05%) | حورس زراعة ش.م.م (16.58%) | الدلتا كيماويات ش.م.م (15.13%) | سيناء تقنية محدودة (13.62%) | حورس كيماويات ش.ذ.م.م (10.86%),,,,,,,,
 بناء قوارب النزهة والرياضة,0,,0,,الإسكندرية تقنية ش.ذ.م.م (14.76%) | الأهرام لوجستيات ش.ذ.م.م (14.41%) | الإسكندرية زراعة ش.ذ.م.م (13.32%) | حورس أغذية ش.م.م (11.80%) | النيل خدمات ش.ذ.م.م (8.27%),,,,,,,,
 بوابات الشبكة,1,mid,0,,مصر بلاستيك ذ.م.م (25.54%) | سيناء تجارة محدودة (12.89%) | سيناء تجارة محدودة (9.53%) | الجيزة تقنية ش.م.م (6.96%) | الجيزة كيماويات ذ.م.م (6.83%),,,,,,,,
 بيع أنواع الوقود الصلبة والسائلة والغازية وما يتصل بها من منتجات بالجملة,0,,0,,الإسكندرية خدمات ش.م.م (6.17%) | الدلتا تقنية ش.ذ.م.م (5.34%) | النيل كيماويات ذ.م.م (5.14%) | اللوتس تجارة ش.م.م (4.87%) | سيناء أغذية ذ.م.م (4.34%),,,,,,,,
 بيع الآلات والمعدات الأخرى بالجملة,0,,0,,سيناء خدمات ش.م.م (4.79%) | سيناء بلاستيك ذ.م.م (4.39%) | سيناء بلاستيك ذ.م.م (4.18%) | الإسكندرية خدمات ش.م.م (3.75%) | مصر تقنية محدودة (3.51%),,,,,,,,
 بيع الآلات والمعدات واللوازم الزراعية بالجملة,1,mid,0,,الأهرام زراعة ذ.م.م (8.57%) | القاهرة منسوجات ذ.م.م (8.50%) | القاهرة صلب ذ.م.م (6.65%) | اللوتس لوجستيات ذ.م.م (5.70%) | القاهرة كيماويات ذ.م.م (4.18%),,,,,,,,
 بيع الأدوات الرياضية بالتجزئة في المتاجر المتخصصة,1,mid,0,,اللوتس زراعة ش.م.م (13.51%) | النيل لوجستيات ش.م.م (4.27%) | سيناء زراعة ذ.م.م (4.23%) | الجيزة تقنية ش.ذ.م.م (4.14%) | الإسكندرية لوجستيات ذ.م.م (4.01%),,,,,,,,
 بيع الأدوات المعدنية والطلاء والزجاج بالتجزئة في المتاجر المتخصصة,1,mid,0,,القاهرة زراعة ش.ذ.م.م (5.25%) | النيل بلاستيك محدودة (4.60%) | سيناء كيماويات ش.م.م (4.03%) | الجيزة صلب محدودة (3.96%) | الإسكندرية تجارة ش.ذ.م.م (3.85%),,,,,,,,
 بيع الأغذية بالتجزئة في المتاجر المتخصصة,1,high,0,,الإسكندرية تقنية ش.م.م (8.80%) | مصر أغذية ذ.م.م (5.41%) | مصر كيماويات ش.ذ.م.م (4.89%) | حورس صلب محدودة (4.62%) | حورس منسوجات ذ.م.م (4.51%),,,,,,,,
 بيع الأغذية والمشروبات ومنتجات التبغ بالتجزئة في الأكشاك والأسواق,1,mid,0,,الأهرام تقنية ذ.م.م (12.38%) | سيناء منسوجات ذ.م.م (4.77%) | حورس منسوجات ش.ذ.م.م (4.41%) | مصر كيماويات ذ.م.م (4.19%) | سيناء صلب ش.م.م (4.11%),,,,,,,,
 بيع الألعاب والّلعب بالتجزئة في المتاجر المتخصصة,1,very high,0,,سيناء زراعة محدودة (8.59%) | الدلتا لوجستيات ش.م.م (6.85%) | القاهرة زراعة محدودة (4.80%) | حورس زراعة ش.م.م (4.55%) | النيل تقنية محدودة (4.22%),,,,,,,,
 بيع البضائع الجديدة الأخرى بالتجزئة في متاجر متخصصة,0,,0,,اللوتس خدمات ش.ذ.م.م (5.81%) | الأهرام تجارة محدودة (5.30%) | مصر بلاستيك ش.ذ.م.م (4.84%) | مصر تجارة ش.م.م (4.64%) | الإسكندرية لوجستيات ذ.م.م (4.63%),,,,,,,,
 بيع البضائع المستعملة بالتجزئة,0,,1,high,اللوتس منسوجات ش.م.م (5.09%) | الإسكندرية خدمات ش.م.م (4.69%) | النيل بلاستيك ش.م.م (4.07%) | حورس صلب محدودة (3.82%) | حورس خدمات ش.ذ.م.م (3.48%),,,,,,,,
 بيع التسجيلات الموسيقية وتسجيلات الفيديو بالتجزئة في المتاجر المتخصصة,0,,1,mid,النيل كيماويات محدودة (5.16%) | حورس منسوجات ذ.م.م (4.40%) | مصر خدمات محدودة (4.26%) | النيل تجارة محدودة (4.23%) | الإسكندرية كيماويات ش.ذ.م.م (4.05%),,,,,,,,
 بيع الحواسيب والمعدات الطرفية للحواسيب والبرمجيات بالجملة,1,mid,0,,سيناء أغذية ش.ذ.م.م (5.17%) | حورس بلاستيك ش.ذ.م.م (4.51%) | الجيزة لوجستيات ش.ذ.م.م (4.29%) | الأهرام خدمات محدودة (3.93%) | اللوتس تجارة ش.ذ.م.م (3.66%),,,,,,,,
" بيع الحواسيب والمعدات الطرفية للحواسيب، والبرمجيات، ومعدات الاتصالات بالتجزئة في المتاجر المتخصصة",0,,1,mid,الإسكندرية زراعة ش.ذ.م.م (6.70%) | القاهرة زراعة ش.م.م (4.45%) | اللوتس كيماويات محدودة (4.44%) | الدلتا لوجستيات ش.م.م (4.43%) | القاهرة تجارة ش.ذ.م.م (4.41%),,,,,,,,
 بيع السجاد والبُسط وكسوة الأرضيات والحوائط بالتجزئة في المحلات المتخصصة,0,,1,mid,النيل زراعة ش.ذ.م.م (11.25%) | الإسكندرية صلب ذ.م.م (6.09%) | سيناء تجارة محدودة (5.15%) | الأهرام منسوجات محدودة (4.84%) | حورس أغذية محدودة (4.58%),,,,,,,,
 بيع السلع الأخرى بالتجزئة في الأكشاك والأسواق,0,,0,,مصر بلاستيك ش.م.م (7.18%) | الدلتا تجارة محدودة (6.37%) | مصر تقنية ش.ذ.م.م (5.07%) | مصر خدمات ش.م.م (4.93%) | مصر خدمات ش.م.م (4.77%),,,,,,,,
 بيع السلع المنزلية الأخرى بالجملة,0,,1,mid,الدلتا صلب ش.م.م (21.75%) | الجيزة تجارة ش.م.م (12.39%) | النيل صلب ش.م.م (3.88%) | الأهرام صلب ش.ذ.م.م (3.62%) | القاهرة بلاستيك ش.م.م (3.48%),,,,,,,,
 بيع الكتب والصحف والأدوات الكتابية بالتجزئة في المتاجر المتخصصة,1,mid,0,,مصر أغذية ذ.م.م (5.16%) | مصر خدمات ذ.م.م (4.83%) | سيناء خدمات محدودة (4.62%) | الجيزة خدمات ذ.م.م (4.28%) | الجيزة منسوجات ذ.م.م (4.28%),,,,,,,,
 بيع المشروبات بالتجزئة في المتاجر المتخصصة,0,,0,,سيناء زراعة ش.ذ.م.م (7.36%) | حورس أغذية ش.ذ.م.م (6.21%) | الأهرام لوجستيات محدودة (5.99%) | مصر منسوجات ش.م.م (5.55%) | حورس كيماويات محدودة (5.05%),,,,,,,,
 بيع المعادن وركازات المعادن بالجملة,0,,0,,القاهرة لوجستيات ش.م.م (6.25%) | القاهرة لوجستيات ذ.م.م (5.87%) | الجيزة أغذية ش.م.م (5.62%) | سيناء زراعة ش.م.م (5.53%) | سيناء لوجستيات ذ.م.م (5.30%),,,,,,,,
 بيع المعدات الإلكترونية ومعدات الاتصالات وقطع غيارها بالجملة,0,,0,,مصر كيماويات ش.ذ.م.م (4.63%) | مصر بلاستيك ش.م.م (4.61%) | الجيزة منسوجات ش.ذ.م.م (4.51%) | مصر تقنية ش.ذ.م.م (4.24%) | حورس منسوجات ش.ذ.م.م (4.18%),,,,,,,,
 بيع الملبوسات والأحذية والأصناف الجلدية بالتجزئة في المتاجر المتخصصة,0,,0,,النيل كيماويات ذ.م.م (4.67%) | سيناء لوجستيات ذ.م.م (4.17%) | الدلتا منسوجات محدودة (4.04%) | الإسكندرية زراعة محدودة (3.94%) | الدلتا خدمات ذ.م.م (3.80%),,,,,,,,
 بيع المنتجات الصيدلانية والطبية ومستحضرات التجميل وأدوات الزينة بالتجزئة في متاجر متخصصة,0,,0,,الأهرام خدمات ش.م.م (8.29%) | الإسكندرية لوجستيات ذ.م.م (6.63%) | الإسكندرية أغذية ش.م.م (4.85%) | سيناء أغذية ذ.م.م (4.26%) | اللوتس منسوجات ش.ذ.م.م (4.07%),,,,,,,,
 بيع المنسوجات بالتجزئة في المتاجر المتخصصة,1,high,0,,النيل منسوجات محدودة (7.75%) | الإسكندرية أغذية ش.ذ.م.م (4.78%) | حورس أغذية محدودة (4.51%) | مصر منسوجات محدودة (4.03%) | الإسكندرية بلاستيك محدودة (3.91%),,,,,,,,
 بيع المنسوجات والملبوسات والأحذية بالتجزئة في الأكشاك والأسواق,1,mid,1,mid,الإسكندرية تجارة ذ.م.م (8.89%) | النيل خدمات ش.م.م (8.28%) | مصر بلاستيك ذ.م.م (7.38%) | الجيزة صلب ذ.م.م (6.16%) | النيل تقنية ذ.م.م (5.41%),,,,,,,,
 بيع المنسوجات والملبوسات والأحذية بالجملة,0,,1,mid,حورس زراعة ش.ذ.م.م (7.34%) | الجيزة زراعة ذ.م.م (4.94%) | مصر كيماويات محدودة (4.43%) | حورس أغذية ش.م.م (4.21%) | الجيزة زراعة ش.ذ.م.م (4.00%),,,,,,,,
 بيع النفايات والخردة وغير ذلك من المنتجات غير المصنّفة في موضع آخر بالجملة,0,,1,mid,مصر منسوجات محدودة (5.75%) | سيناء صلب ش.م.م (5.54%) | مصر أغذية ذ.م.م (5.40%) | الدلتا منسوجات ش.ذ.م.م (5.17%) | سيناء زراعة ذ.م.م (4.81%),,,,,,,,
 بيع قطع غيار المركبات ذات المحركات وملحقاتها,0,,0,,النيل خدمات محدودة (7.20%) | الإسكندرية خدمات ش.م.م (6.42%) | حورس تجارة محدودة (5.59%) | الجيزة أغذية محدودة (5.55%) | الجيزة خدمات ش.ذ.م.م (5.45%),,,,,,,,
 بيع منتجات التبغ بالتجزئة في المتاجر المتخصصة,1,mid,1,mid,اللوتس منسوجات ش.م.م (6.02%) | اللوتس تجارة محدودة (5.85%) | الإسكندرية منسوجات ش.ذ.م.م (4.89%) | النيل منسوجات ش.م.م (4.84%) | سيناء كيماويات ش.ذ.م.م (4.81%),,,,,,,,
 بيع مواد البناء والمواد الإنشائية المعدنية ومعدات السباكة والتدفئة ولوازمها بالجملة,1,mid,0,,الأهرام تجارة محدودة (8.20%) | الجيزة خدمات محدودة (7.62%) | النيل زراعة محدودة (4.95%) | سيناء خدمات ذ.م.م (4.62%) | الدلتا زراعة محدودة (4.24%),,,,,,,,
 تأجير الآلات والمعدات الأخرى والسلع الحقيقية,0,,0,,القاهرة خدمات ش.م.م (33.26%) | الجيزة كيماويات محدودة (11.55%) | سيناء بلاستيك ش.ذ.م.م (11.24%) | سيناء كيماويات ش.ذ.م.م (9.01%) | سيناء خدمات محدودة (5.89%),,,,,,,,
 تأجير السلع الترفيهية والرياضية,1,mid,0,,الأهرام بلاستيك محدودة (15.14%) | القاهرة خدمات محدودة (14.63%) | سيناء لوجستيات محدودة (13.38%) | حورس بلاستيك ذ.م.م (8.08%) | اللوتس كيماويات ذ.م.م (6.57%),,,,,,,,
 تأجير السلع الشخصية والمنزلية الأخرى,0,,1,mid,الدلتا خدمات ذ.م.م (23.55%) | حورس صلب ش.م.م (18.82%) | سيناء تجارة ش.م.م (10.28%) | الأهرام بلاستيك ش.ذ.م.م (9.73%) | النيل بلاستيك ش.ذ.م.م (8.83%),,,,,,,,
 تأجير شرائط وأقراص الفيديو,1,mid,0,,الدلتا زراعة ذ.م.م (27.71%) | الدلتا تقنية ش.ذ.م.م (26.07%) | الأهرام خدمات ش.م.م (19.82%) | النيل تجارة محدودة (10.84%) | القاهرة تجارة ش.ذ.م.م (6.26%),,,,,,,,
 تجهيز البيانات واستضافة المواقع على الشبكة وما يتصل بذلك من أنشطة,1,mid,0,,الأهرام كيماويات ش.ذ.م.م (27.38%) | حورس كيماويات ش.م.م (17.08%) | القاهرة أغذية محدودة (12.90%) | اللوتس تقنية ش.ذ.م.م (8.77%) | سيناء تجارة محدودة (7.48%),,,,,,,,
