اسم_الشركة,السنة,القطاع,فئة_SME,score,size_mean,size_median,size_std,gap_to_size_mean,rank_within_size_segment,count_in_size_segment,percentile_within_size_segment
الأهرام منسوجات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.97,4.0628,4.1,1.1539,0.9072,29,149,81.21
الإسكندرية تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.92,4.0628,4.1,1.1539,0.8572,30,149,80.54
النيل كيماويات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.87,4.0628,4.1,1.1539,0.8072,31,149,79.87
القاهرة صلب ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.86,4.0628,4.1,1.1539,0.7972,32,149,79.19
الدلتا لوجستيات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.78,4.0628,4.1,1.1539,0.7172,33,149,78.52
حورس لوجستيات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.76,4.0628,4.1,1.1539,0.6972,34,149,77.85
حورس أغذية محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.73,4.0628,4.1,1.1539,0.6672,35,149,77.18
الأهرام منسوجات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.69,4.0628,4.1,1.1539,0.6272,36,149,76.17
الأهرام خدمات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.69,4.0628,4.1,1.1539,0.6272,36,149,76.17
الأهرام منسوجات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.68,4.0628,4.1,1.1539,0.6172,38,149,75.17
الجيزة زراعة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.67,4.0628,4.1,1.1539,0.6072,39,149,74.5
اللوتس بلاستيك ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.63,4.0628,4.1,1.1539,0.5672,40,149,73.83
اللوتس زراعة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.6,4.0628,4.1,1.1539,0.5372,41,149,73.15
الأهرام منسوجات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.59,4.0628,4.1,1.1539,0.5272,42,149,72.48
سيناء تجارة ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.58,4.0628,4.1,1.1539,0.5172,43,149,71.81
الإسكندرية لوجستيات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.57,4.0628,4.1,1.1539,0.5072,44,149,71.14
النيل أغذية ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.56,4.0628,4.1,1.1539,0.4972,45,149,70.47
الأهرام خدمات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.54,4.0628,4.1,1.1539,0.4772,46,149,69.8
الجيزة زراعة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.49,4.0628,4.1,1.1539,0.4272,47,149,68.79
القاهرة زراعة ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.49,4.0628,4.1,1.1539,0.4272,47,149,68.79
الجيزة لوجستيات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.47,4.0628,4.1,1.1539,0.4072,49,149,67.79
حورس تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.43,4.0628,4.1,1.1539,0.3672,50,149,67.11
الإسكندرية أغذية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.42,4.0628,4.1,1.1539,0.3572,51,149,66.11
الجيزة تجارة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.42,4.0628,4.1,1.1539,0.3572,51,149,66.11
الدلتا كيماويات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.41,4.0628,4.1,1.1539,0.3472,53,149,64.77
مصر صلب ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.41,4.0628,4.1,1.1539,0.3472,53,149,64.77
الجيزة لوجستيات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.39,4.0628,4.1,1.1539,0.3272,55,149,63.76
الإسكندرية تجارة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.31,4.0628,4.1,1.1539,0.2472,56,149,63.09
الأهرام تجارة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.29,4.0628,4.1,1.1539,0.2272,57,149,62.42
القاهرة منسوجات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.24,4.0628,4.1,1.1539,0.1772,58,149,61.74
سيناء كيماويات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.21,4.0628,4.1,1.1539,0.1472,60,149,60.4
الدلتا تقنية ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.21,4.0628,4.1,1.1539,0.1472,60,149,60.4
القاهرة زراعة ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.21,4.0628,4.1,1.1539,0.1472,60,149,60.4
سيناء تقنية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.2,4.0628,4.1,1.1539,0.1372,62,149,58.72
الدلتا تقنية ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.2,4.0628,4.1,1.1539,0.1372,62,149,58.72
حورس بلاستيك ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.19,4.0628,4.1,1.1539,0.1272,64,149,57.38
اللوتس زراعة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.19,4.0628,4.1,1.1539,0.1272,64,149,57.38
الإسكندرية تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.18,4.0628,4.1,1.1539,0.1172,66,149,56.04
الأهرام زراعة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.18,4.0628,4.1,1.1539,0.1172,66,149,56.04
النيل بلاستيك محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.17,4.0628,4.1,1.1539,0.1072,68,149,54.7
النيل بلاستيك ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.17,4.0628,4.1,1.1539,0.1072,68,149,54.7
مصر صلب ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.15,4.0628,4.1,1.1539,0.0872,70,149,53.69
الجيزة تجارة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.14,4.0628,4.1,1.1539,0.0772,71,149,53.02
الإسكندرية بلاستيك ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.11,4.0628,4.1,1.1539,0.0472,72,149,52.35
القاهرة خدمات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.1,4.0628,4.1,1.1539,0.0372,74,149,51.01
حورس خدمات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.1,4.0628,4.1,1.1539,0.0372,74,149,51.01
القاهرة منسوجات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.1,4.0628,4.1,1.1539,0.0372,74,149,51.01
اللوتس صلب ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.09,4.0628,4.1,1.1539,0.0272,77,149,48.99
اللوتس بلاستيك ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.09,4.0628,4.1,1.1539,0.0272,77,149,48.99
الأهرام تقنية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.09,4.0628,4.1,1.1539,0.0272,77,149,48.99
حورس صلب ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.03,4.0628,4.1,1.1539,-0.0328,79,149,47.32
اللوتس تقنية ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.03,4.0628,4.1,1.1539,-0.0328,79,149,47.32
حورس بلاستيك محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,4.02,4.0628,4.1,1.1539,-0.0428,81,149,45.97
القاهرة منسوجات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,4.02,4.0628,4.1,1.1539,-0.0428,81,149,45.97
القاهرة تقنية ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.99,4.0628,4.1,1.1539,-0.0728,83,149,44.97
الإسكندرية زراعة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.98,4.0628,4.1,1.1539,-0.0828,84,149,44.3
سيناء صلب ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.95,4.0628,4.1,1.1539,-0.1128,85,149,43.62
اللوتس أغذية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.92,4.0628,4.1,1.1539,-0.1428,86,149,42.95
النيل بلاستيك ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.9,4.0628,4.1,1.1539,-0.1628,87,149,42.28
الإسكندرية بلاستيك ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.89,4.0628,4.1,1.1539,-0.1728,88,149,41.61
الدلتا كيماويات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.85,4.0628,4.1,1.1539,-0.2128,89,149,40.94
الأهرام زراعة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.84,4.0628,4.1,1.1539,-0.2228,90,149,40.27
الأهرام أغذية ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.81,4.0628,4.1,1.1539,-0.2528,91,149,39.26
الإسكندرية زراعة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.81,4.0628,4.1,1.1539,-0.2528,91,149,39.26
الإسكندرية زراعة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.76,4.0628,4.1,1.1539,-0.3028,93,149,38.26
مصر أغذية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.72,4.0628,4.1,1.1539,-0.3428,94,149,37.58
الدلتا تجارة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.71,4.0628,4.1,1.1539,-0.3528,95,149,36.91
الإسكندرية تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.69,4.0628,4.1,1.1539,-0.3728,96,149,36.24
الجيزة منسوجات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.64,4.0628,4.1,1.1539,-0.4228,97,149,35.57
مصر كيماويات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.53,4.0628,4.1,1.1539,-0.5328,98,149,34.9
اللوتس أغذية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.5,4.0628,4.1,1.1539,-0.5628,99,149,34.23
اللوتس بلاستيك ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.48,4.0628,4.1,1.1539,-0.5828,100,149,33.56
سيناء كيماويات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.43,4.0628,4.1,1.1539,-0.6328,101,149,32.89
الدلتا منسوجات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.41,4.0628,4.1,1.1539,-0.6528,103,149,31.54
القاهرة صلب ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.41,4.0628,4.1,1.1539,-0.6528,103,149,31.54
الأهرام خدمات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.41,4.0628,4.1,1.1539,-0.6528,103,149,31.54
الأهرام كيماويات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.38,4.0628,4.1,1.1539,-0.6828,105,149,29.87
الأهرام تقنية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.38,4.0628,4.1,1.1539,-0.6828,105,149,29.87
سيناء منسوجات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.37,4.0628,4.1,1.1539,-0.6928,107,149,28.86
الدلتا بلاستيك محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.35,4.0628,4.1,1.1539,-0.7128,108,149,27.85
الجيزة تقنية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.35,4.0628,4.1,1.1539,-0.7128,108,149,27.85
الجيزة تقنية ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.34,4.0628,4.1,1.1539,-0.7228,110,149,26.51
سيناء تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.34,4.0628,4.1,1.1539,-0.7228,110,149,26.51
حورس خدمات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.31,4.0628,4.1,1.1539,-0.7528,112,149,25.5
الجيزة تجارة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.27,4.0628,4.1,1.1539,-0.7928,113,149,24.83
سيناء تجارة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.21,4.0628,4.1,1.1539,-0.8528,114,149,24.16
النيل تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.2,4.0628,4.1,1.1539,-0.8628,115,149,23.49
سيناء أغذية محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.19,4.0628,4.1,1.1539,-0.8728,116,149,22.82
الإسكندرية كيماويات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.15,4.0628,4.1,1.1539,-0.9128,117,149,22.15
الإسكندرية منسوجات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,3.14,4.0628,4.1,1.1539,-0.9228,118,149,21.48
سيناء أغذية ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.09,4.0628,4.1,1.1539,-0.9728,119,149,20.81
مصر صلب ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.02,4.0628,4.1,1.1539,-1.0428,120,149,20.13
اللوتس لوجستيات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,3.0,4.0628,4.1,1.1539,-1.0628,121,149,19.46
القاهرة بلاستيك ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.99,4.0628,4.1,1.1539,-1.0728,122,149,18.79
الإسكندرية تجارة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.96,4.0628,4.1,1.1539,-1.1028,123,149,18.12
القاهرة كيماويات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.95,4.0628,4.1,1.1539,-1.1128,124,149,17.45
مصر كيماويات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.9,4.0628,4.1,1.1539,-1.1628,125,149,16.78
الجيزة لوجستيات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.86,4.0628,4.1,1.1539,-1.2028,126,149,16.11
حورس منسوجات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.85,4.0628,4.1,1.1539,-1.2128,127,149,15.44
اللوتس لوجستيات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.72,4.0628,4.1,1.1539,-1.3428,128,149,14.77
الإسكندرية تجارة ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.69,4.0628,4.1,1.1539,-1.3728,129,149,14.09
مصر تقنية محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.68,4.0628,4.1,1.1539,-1.3828,130,149,13.42
الأهرام كيماويات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.67,4.0628,4.1,1.1539,-1.3928,131,149,12.42
النيل زراعة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.67,4.0628,4.1,1.1539,-1.3928,131,149,12.42
النيل بلاستيك محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.61,4.0628,4.1,1.1539,-1.4528,133,149,11.07
الإسكندرية تقنية ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.61,4.0628,4.1,1.1539,-1.4528,133,149,11.07
اللوتس صلب ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.6,4.0628,4.1,1.1539,-1.4628,135,149,10.07
سيناء خدمات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.59,4.0628,4.1,1.1539,-1.4728,136,149,9.4
حورس تجارة ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.57,4.0628,4.1,1.1539,-1.4928,137,149,8.72
اللوتس خدمات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.55,4.0628,4.1,1.1539,-1.5128,138,149,8.05
اللوتس لوجستيات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.53,4.0628,4.1,1.1539,-1.5328,139,149,7.38
القاهرة زراعة محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.44,4.0628,4.1,1.1539,-1.6228,140,149,6.71
القاهرة كيماويات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.35,4.0628,4.1,1.1539,-1.7128,141,149,6.04
حورس لوجستيات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.33,4.0628,4.1,1.1539,-1.7328,142,149,5.37
سيناء خدمات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,2.24,4.0628,4.1,1.1539,-1.8228,143,149,4.7
اللوتس خدمات ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,2.23,4.0628,4.1,1.1539,-1.8328,144,149,4.03
الأهرام بلاستيك محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,1.87,4.0628,4.1,1.1539,-2.1928,145,149,3.36
الأهرام تجارة ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,1.78,4.0628,4.1,1.1539,-2.2828,146,149,2.68
الإسكندرية كيماويات ش.ذ.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,1.75,4.0628,4.1,1.1539,-2.3128,147,149,2.01
الإسكندرية كيماويات ش.م.م,2024,الصحة البشرية والعمل الاجتماعي,small,1.56,4.0628,4.1,1.1539,-2.5028,148,149,1.34
اللوتس خدمات محدودة,2024,الصحة البشرية والعمل الاجتماعي,small,1.46,4.0628,4.1,1.1539,-2.6028,149,149,0.67
حورس تجارة محدودة,2024,الصناعة التحويلية,medium,8.56,6.0568,6.075,1.0352,2.5032,1,608,100.0
اللوتس أغذية ذ.م.م,2024,الصناعة التحويلية,medium,8.29,6.0568,6.075,1.0352,2.2332,2,608,99.75
الأهرام تجارة ش.م.م,2024,الصناعة التحويلية,medium,8.29,6.0568,6.075,1.0352,2.2332,2,608,99.75
اللوتس تقنية ش.م.م,2024,الصناعة التحويلية,medium,8.27,6.0568,6.075,1.0352,2.2132,4,608,99.51
مصر أغذية ش.ذ.م.م,2024,الصناعة التحويلية,medium,8.2,6.0568,6.075,1.0352,2.1432,5,608,99.34
القاهرة منسوجات ش.م.م,2024,الصناعة التحويلية,medium,8.19,6.0568,6.075,1.0352,2.1332,6,608,99.18
مصر خدمات ش.ذ.م.م,2024,الصناعة التحويلية,medium,8.16,6.0568,6.075,1.0352,2.1032,7,608,99.01
القاهرة خدمات محدودة,2024,الصناعة التحويلية,medium,8.14,6.0568,6.075,1.0352,2.0832,8,608,98.85
الأهرام لوجستيات ش.ذ.م.م,2024,الصناعة التحويلية,medium,8.13,6.0568,6.075,1.0352,2.0732,9,608,98.68
القاهرة تجارة محدودة,2024,الصناعة التحويلية,medium,8.09,6.0568,6.075,1.0352,2.0332,10,608,98.52
الدلتا لوجستيات محدودة,2024,الصناعة التحويلية,medium,8.05,6.0568,6.075,1.0352,1.9932,11,608,98.36
النيل خدمات ش.م.م,2024,الصناعة التحويلية,medium,8.02,6.0568,6.075,1.0352,1.9632,12,608,98.11
الأهرام لوجستيات ذ.م.م,2024,الصناعة التحويلية,medium,8.02,6.0568,6.075,1.0352,1.9632,12,608,98.11
الدلتا زراعة ش.ذ.م.م,2024,الصناعة التحويلية,medium,8.0,6.0568,6.075,1.0352,1.9432,14,608,97.86
الدلتا خدمات ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.99,6.0568,6.075,1.0352,1.9332,15,608,97.62
الجيزة تجارة ذ.م.م,2024,الصناعة التحويلية,medium,7.99,6.0568,6.075,1.0352,1.9332,15,608,97.62
اللوتس أغذية ش.م.م,2024,الصناعة التحويلية,medium,7.97,6.0568,6.075,1.0352,1.9132,17,608,97.37
الجيزة منسوجات ش.م.م,2024,الصناعة التحويلية,medium,7.96,6.0568,6.075,1.0352,1.9032,18,608,97.2
الأهرام أغذية ش.م.م,2024,الصناعة التحويلية,medium,7.93,6.0568,6.075,1.0352,1.8732,19,608,97.04
سيناء لوجستيات محدودة,2024,الصناعة التحويلية,medium,7.92,6.0568,6.075,1.0352,1.8632,20,608,96.88
القاهرة زراعة ذ.م.م,2024,الصناعة التحويلية,medium,7.9,6.0568,6.075,1.0352,1.8432,21,608,96.71
اللوتس تقنية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.89,6.0568,6.075,1.0352,1.8332,22,608,96.55
مصر تجارة ش.م.م,2024,الصناعة التحويلية,medium,7.87,6.0568,6.075,1.0352,1.8132,23,608,96.3
القاهرة زراعة ش.م.م,2024,الصناعة التحويلية,medium,7.87,6.0568,6.075,1.0352,1.8132,23,608,96.3
الدلتا كيماويات ذ.م.م,2024,الصناعة التحويلية,medium,7.86,6.0568,6.075,1.0352,1.8032,25,608,96.05
القاهرة تقنية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.85,6.0568,6.075,1.0352,1.7932,26,608,95.89
الدلتا صلب ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.82,6.0568,6.075,1.0352,1.7632,27,608,95.64
القاهرة تقنية ش.م.م,2024,الصناعة التحويلية,medium,7.82,6.0568,6.075,1.0352,1.7632,27,608,95.64
الأهرام لوجستيات محدودة,2024,الصناعة التحويلية,medium,7.81,6.0568,6.075,1.0352,1.7532,29,608,95.39
الأهرام زراعة ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.8,6.0568,6.075,1.0352,1.7432,30,608,95.23
اللوتس لوجستيات ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.79,6.0568,6.075,1.0352,1.7332,31,608,95.07
حورس زراعة ش.م.م,2024,الصناعة التحويلية,medium,7.76,6.0568,6.075,1.0352,1.7032,32,608,94.9
القاهرة تقنية ش.م.م,2024,الصناعة التحويلية,medium,7.75,6.0568,6.075,1.0352,1.6932,34,608,94.57
مصر بلاستيك محدودة,2024,الصناعة التحويلية,medium,7.75,6.0568,6.075,1.0352,1.6932,34,608,94.57
القاهرة تجارة ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.75,6.0568,6.075,1.0352,1.6932,34,608,94.57
مصر منسوجات ذ.م.م,2024,الصناعة التحويلية,medium,7.74,6.0568,6.075,1.0352,1.6832,36,608,94.16
حورس زراعة محدودة,2024,الصناعة التحويلية,medium,7.74,6.0568,6.075,1.0352,1.6832,36,608,94.16
مصر بلاستيك محدودة,2024,الصناعة التحويلية,medium,7.67,6.0568,6.075,1.0352,1.6132,38,608,93.91
الجيزة صلب ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.66,6.0568,6.075,1.0352,1.6032,39,608,93.75
الجيزة صلب ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.65,6.0568,6.075,1.0352,1.5932,40,608,93.59
الجيزة خدمات محدودة,2024,الصناعة التحويلية,medium,7.64,6.0568,6.075,1.0352,1.5832,41,608,93.42
النيل صلب محدودة,2024,الصناعة التحويلية,medium,7.63,6.0568,6.075,1.0352,1.5732,42,608,93.17
الإسكندرية صلب محدودة,2024,الصناعة التحويلية,medium,7.63,6.0568,6.075,1.0352,1.5732,42,608,93.17
الدلتا أغذية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.62,6.0568,6.075,1.0352,1.5632,44,608,92.93
الإسكندرية منسوجات ذ.م.م,2024,الصناعة التحويلية,medium,7.61,6.0568,6.075,1.0352,1.5532,45,608,92.76
سيناء تجارة ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.6,6.0568,6.075,1.0352,1.5432,46,608,92.6
اللوتس تقنية ذ.م.م,2024,الصناعة التحويلية,medium,7.58,6.0568,6.075,1.0352,1.5232,47,608,92.43
الدلتا أغذية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.57,6.0568,6.075,1.0352,1.5132,48,608,92.27
الأهرام منسوجات ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.56,6.0568,6.075,1.0352,1.5032,50,608,91.94
حورس بلاستيك ش.م.م,2024,الصناعة التحويلية,medium,7.56,6.0568,6.075,1.0352,1.5032,50,608,91.94
الدلتا تجارة ذ.م.م,2024,الصناعة التحويلية,medium,7.56,6.0568,6.075,1.0352,1.5032,50,608,91.94
الأهرام تقنية محدودة,2024,الصناعة التحويلية,medium,7.55,6.0568,6.075,1.0352,1.4932,52,608,91.61
سيناء تجارة ش.م.م,2024,الصناعة التحويلية,medium,7.54,6.0568,6.075,1.0352,1.4832,53,608,91.45
الأهرام خدمات ش.م.م,2024,الصناعة التحويلية,medium,7.53,6.0568,6.075,1.0352,1.4732,54,608,91.28
الجيزة بلاستيك ش.م.م,2024,الصناعة التحويلية,medium,7.52,6.0568,6.075,1.0352,1.4632,55,608,91.04
مصر منسوجات محدودة,2024,الصناعة التحويلية,medium,7.52,6.0568,6.075,1.0352,1.4632,55,608,91.04
النيل خدمات محدودة,2024,الصناعة التحويلية,medium,7.5,6.0568,6.075,1.0352,1.4432,57,608,90.71
مصر أغذية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.5,6.0568,6.075,1.0352,1.4432,57,608,90.71
الأهرام تقنية محدودة,2024,الصناعة التحويلية,medium,7.48,6.0568,6.075,1.0352,1.4232,59,608,90.46
النيل زراعة ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.46,6.0568,6.075,1.0352,1.4032,60,608,90.21
حورس كيماويات ذ.م.م,2024,الصناعة التحويلية,medium,7.46,6.0568,6.075,1.0352,1.4032,60,608,90.21
الدلتا منسوجات ذ.م.م,2024,الصناعة التحويلية,medium,7.45,6.0568,6.075,1.0352,1.3932,63,608,89.8
الأهرام تجارة ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.45,6.0568,6.075,1.0352,1.3932,63,608,89.8
القاهرة بلاستيك ذ.م.م,2024,الصناعة التحويلية,medium,7.45,6.0568,6.075,1.0352,1.3932,63,608,89.8
الإسكندرية تقنية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.44,6.0568,6.075,1.0352,1.3832,65,608,89.47
الإسكندرية تقنية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.43,6.0568,6.075,1.0352,1.3732,66,608,89.31
حورس أغذية محدودة,2024,الصناعة التحويلية,medium,7.42,6.0568,6.075,1.0352,1.3632,67,608,89.14
النيل خدمات ذ.م.م,2024,الصناعة التحويلية,medium,7.41,6.0568,6.075,1.0352,1.3532,68,608,88.98
الإسكندرية صلب ذ.م.م,2024,الصناعة التحويلية,medium,7.39,6.0568,6.075,1.0352,1.3332,69,608,88.82
اللوتس خدمات ذ.م.م,2024,الصناعة التحويلية,medium,7.38,6.0568,6.075,1.0352,1.3232,70,608,88.65
سيناء خدمات محدودة,2024,الصناعة التحويلية,medium,7.37,6.0568,6.075,1.0352,1.3132,71,608,88.49
حورس أغذية ش.ذ.م.م,2024,الصناعة التحويلية,medium,7.34,6.0568,6.075,1.0352,1.2832,72,608,88.24
الإسكندرية تجارة ذ.م.م,2024,الصناعة التحويلية,medium,7.34,6.0568,6.075,1.0352,1.2832,72,608,88.24
الإسكندرية أغذية ذ.م.م,2024,الصناعة التحويلية,medium,7.33,6.0568,6.075,1.0352,1.2732,75,608,87.83
سيناء منسوجات ذ.م.م,2024,الصناعة التحويلية,medium,7.33,6.0568,6.075,1.0352,1.2732,75,608,87.83
حورس تجارة ش.م.م,2024,الصناعة التحويلية,medium,7.33,6.0568,6.075,1.0352,1.2732,75,608,87.83
النيل صلب محدودة,2024,الصناعة التحويلية,medium,7.32,6.0568,6.075,1.0352,1.2632,77,608,87.42
